"NSFTV.ID","Exp","Rep","DayOfImaging","PSA"
"NSFTV_103","E2","1",6,20973
"NSFTV_103","E2","1",7,24486
"NSFTV_103","E2","1",8,32405
"NSFTV_103","E2","1",9,39743
"NSFTV_103","E2","1",10,43794
"NSFTV_103","E2","1",11,54080
"NSFTV_103","E2","1",12,62826
"NSFTV_103","E2","1",13,72931
"NSFTV_103","E2","1",14,76453
"NSFTV_103","E2","1",15,83690
"NSFTV_103","E2","1",16,100485
"NSFTV_103","E2","1",17,114841
"NSFTV_103","E2","1",18,123033
"NSFTV_103","E2","1",19,144098
"NSFTV_103","E2","1",20,165299
"NSFTV_103","E2","2",1,NA
"NSFTV_103","E2","2",2,NA
"NSFTV_103","E2","2",3,NA
"NSFTV_103","E2","2",4,NA
"NSFTV_103","E2","2",5,NA
"NSFTV_103","E2","2",6,NA
"NSFTV_103","E2","2",7,NA
"NSFTV_103","E2","2",8,NA
"NSFTV_103","E2","2",9,NA
"NSFTV_103","E2","2",10,NA
"NSFTV_103","E2","2",11,NA
"NSFTV_103","E2","2",12,NA
"NSFTV_103","E2","2",13,NA
"NSFTV_103","E2","2",14,NA
"NSFTV_103","E2","2",15,NA
"NSFTV_103","E2","2",16,NA
"NSFTV_103","E2","2",17,NA
"NSFTV_103","E2","2",18,NA
"NSFTV_103","E2","2",19,NA
"NSFTV_103","E2","2",20,NA
"NSFTV_103","E3","1",1,8538
"NSFTV_103","E3","1",2,10296
"NSFTV_103","E3","1",3,12991
"NSFTV_103","E3","1",4,14144
"NSFTV_103","E3","1",5,15963
"NSFTV_103","E3","1",6,19404
"NSFTV_103","E3","1",7,25622
"NSFTV_103","E3","1",8,32179
"NSFTV_103","E3","1",9,39021
"NSFTV_103","E3","1",10,49104
"NSFTV_103","E3","1",11,58077
"NSFTV_103","E3","1",12,66061
"NSFTV_103","E3","1",13,83101
"NSFTV_103","E3","1",14,105341
"NSFTV_103","E3","1",15,124181
"NSFTV_103","E3","1",16,138204
"NSFTV_103","E3","1",17,169960
"NSFTV_103","E3","1",18,208855
"NSFTV_103","E3","1",19,246175
"NSFTV_103","E3","1",20,276161
"NSFTV_103","E3","2",1,NA
"NSFTV_103","E3","2",2,NA
"NSFTV_103","E3","2",3,NA
"NSFTV_103","E3","2",4,NA
"NSFTV_103","E3","2",5,NA
"NSFTV_103","E3","2",6,NA
"NSFTV_103","E3","2",7,NA
"NSFTV_103","E3","2",8,NA
"NSFTV_103","E3","2",9,NA
"NSFTV_103","E3","2",10,NA
"NSFTV_103","E3","2",11,NA
"NSFTV_103","E3","2",12,NA
"NSFTV_103","E3","2",13,NA
"NSFTV_103","E3","2",14,NA
"NSFTV_103","E3","2",15,NA
"NSFTV_103","E3","2",16,NA
"NSFTV_103","E3","2",17,NA
"NSFTV_103","E3","2",18,NA
"NSFTV_103","E3","2",19,NA
"NSFTV_103","E3","2",20,NA
"NSFTV_104","E1","1",1,12854
"NSFTV_104","E1","1",2,15367
"NSFTV_104","E1","1",3,20938
"NSFTV_104","E1","1",4,27305
"NSFTV_104","E1","1",5,33410
"NSFTV_104","E1","1",6,43478
"NSFTV_104","E1","1",7,57824
"NSFTV_104","E1","1",8,70778
"NSFTV_104","E1","1",9,86568
"NSFTV_104","E1","1",10,117727
"NSFTV_104","E1","1",11,146660
"NSFTV_104","E1","1",12,167639
"NSFTV_104","E1","1",13,192584
"NSFTV_104","E1","1",14,237376
"NSFTV_104","E1","1",15,294058
"NSFTV_104","E1","1",16,334172
"NSFTV_104","E1","1",17,373694
"NSFTV_104","E1","1",18,428601
"NSFTV_104","E1","1",19,501695
"NSFTV_104","E1","1",20,565102
